#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
DroidSansMono8pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO8,GSLC_FONTREF_FNAME,FONT_DROID_MONO8,8,DroidSansMono,8,PLAIN
DroidSansMono9pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO9,GSLC_FONTREF_FNAME,FONT_DROID_MONO9,9,DroidSansMono,9,PLAIN
DroidSansMono10pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO10,GSLC_FONTREF_FNAME,FONT_DROID_MONO10,10,DroidSansMono,10,PLAIN
DroidSansMono12pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO12,GSLC_FONTREF_FNAME,FONT_DROID_MONO12,12,DroidSansMono,12,PLAIN
DroidSansMono18pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO18,GSLC_FONTREF_FNAME,FONT_DROID_MONO18,18,DroidSansMono,18,PLAIN
DroidSansMono24pt,NULL,/usr/share/fonts/truetype/droid/DroidSansMono.ttf,E_DROID_MONO24,GSLC_FONTREF_FNAME,FONT_DROID_MONO24,24,DroidSansMono,24,PLAIN
DroidSans8pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS8,GSLC_FONTREF_FNAME,FONT_DROID_SANS8,8,DroidSans,8,PLAIN
DroidSans10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS10,GSLC_FONTREF_FNAME,FONT_DROID_SANS10,10,DroidSans,10,PLAIN
DroidSans12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS12,GSLC_FONTREF_FNAME,FONT_DROID_SANS12,12,DroidSans,12,PLAIN
DroidSans18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS18,GSLC_FONTREF_FNAME,FONT_DROID_SANS18,18,DroidSans,18,PLAIN
DroidSans24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans.ttf,E_DROID_SANS24,GSLC_FONTREF_FNAME,FONT_DROID_SANS24,24,DroidSans,24,PLAIN
DroidSans-Bold8pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB8,GSLC_FONTREF_FNAME,FONT_DROID_SANSB8,8,DroidSans-Bold,8,BOLD
DroidSans-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB10,GSLC_FONTREF_FNAME,FONT_DROID_SANSB10,10,DroidSans-Bold,10,BOLD
DroidSans-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB12,GSLC_FONTREF_FNAME,FONT_DROID_SANSB12,12,DroidSans-Bold,12,BOLD
DroidSans-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB18,GSLC_FONTREF_FNAME,FONT_DROID_SANSB18,18,DroidSans-Bold,18,BOLD
DroidSans-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSans-Bold.ttf,E_DROID_SANSB24,GSLC_FONTREF_FNAME,FONT_DROID_SANSB24,24,DroidSans-Bold,24,BOLD
DroidSerif-Bold8pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB8,GSLC_FONTREF_FNAME,FONT_DROID_SERIFB8,8,DroidSerf-Bold,8,BOLD
DroidSerif-Bold10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB10,GSLC_FONTREF_FNAME,FONT_DROID_SERIFB10,10,DroidSerf-Bold,10,BOLD
DroidSerif-Bold12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB12,GSLC_FONTREF_FNAME,FONT_DROID_SERIFB12,12,DroidSerf-Bold,12,BOLD
DroidSerif-Bold18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB18,GSLC_FONTREF_FNAME,FONT_DROID_SERIFB18,18,DroidSerf-Bold,18,BOLD
DroidSerif-Bold24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Bold.ttf,E_DROID_SERIFB24,GSLC_FONTREF_FNAME,FONT_DROID_SERIFB24,24,DroidSerf-Bold,24,BOLD
DroidSerif-Italic8pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIF8,GSLC_FONTREF_FNAME,FONT_DROID_SERIFI8,8,DroidSerif-Italic,8,ITALIC
DroidSerif-Italic10pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI10,GSLC_FONTREF_FNAME,FONT_DROID_SERIFI10,10,DroidSerif-Italic,10,ITALIC
DroidSerif-Italic12pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI12,GSLC_FONTREF_FNAME,FONT_DROID_SERIFI12,12,DroidSerif-Italic,12,ITALIC
DroidSerif-Italic18pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI18,GSLC_FONTREF_FNAME,FONT_DROID_SERIFI18,18,DroidSerif-Italic,18,ITALIC
DroidSerif-Italic24pt,NULL,/usr/share/fonts/truetype/droid/DroidSerif-Italic.ttf,E_DROID_SERIFI24,GSLC_FONTREF_FNAME,FONT_DROID_SERIFI24,24,DroidSerif-Italic,24,ITALIC
