#FontName,#DisplayName,IncludeFile,DefineFile,nFontId,eFontRefType,pvFontRef,nFontSz,LogicalFont,LogicalFontSize,LogicalFontStyle
FreeFont Monospaced,FreeMono9pt,NULL,/usr/share/fonts/truetype/freefont/FreeMono.ttf,E_FREE_MONO9,GSLC_FONTREF_FNAME,FONT_FREE_MONO9,9,Monospaced,9,PLAIN
FreeFont Monospaced,FreeMono12pt,NULL,/usr/share/fonts/truetype/freefont/FreeMono.ttf,E_FREE_MONO12,GSLC_FONTREF_FNAME,FONT_FREE_MONO12,12,Monospaced,12,PLAIN
FreeFont Monospaced,FreeMono18pt,NULL,/usr/share/fonts/truetype/freefont/FreeMono.ttf,E_FREE_MONO18,GSLC_FONTREF_FNAME,FONT_FREE_MONO18,18,Monospaced,18,PLAIN
FreeFont Monospaced,FreeMono24pt,NULL,/usr/share/fonts/truetype/freefont/FreeMono.ttf,E_FREE_MONO24,GSLC_FONTREF_FNAME,FONT_FREE_MONO24,24,Monospaced,24,PLAIN
FreeFont Monospaced,FreeMonoBold9pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf,E_FREE_MONOB9,GSLC_FONTREF_FNAME,FONT_FREE_MONOB9,9,Monospaced,9,BOLD
FreeFont Monospaced,FreeMonoBold12pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf,E_FREE_MONOB12,GSLC_FONTREF_FNAME,FONT_FREE_MONOB12,12,Monospaced,12,BOLD
FreeFont Monospaced,FreeMonoBold18pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf,E_FREE_MONOB18,GSLC_FONTREF_FNAME,FONT_FREE_MONOB18,18,Monospaced,18,BOLD
FreeFont Monospaced,FreeMonoBold24pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoBold.ttf,E_FREE_MONOB24,GSLC_FONTREF_FNAME,FONT_FREE_MONOB24,24,Monospaced,24,BOLD
FreeFont Monospaced,FreeMonoOblique9pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf,E_FREE_MONOI9,GSLC_FONTREF_FNAME,FONT_FREE_MONOI9,9,Monospaced,9,ITALIC
FreeFont Monospaced,FreeMonoOblique12pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf,E_FREE_MONOI12,GSLC_FONTREF_FNAME,FONT_FREE_MONOI12,12,Monospaced,12,ITALIC
FreeFont Monospaced,FreeMonoOblique18pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf,E_FREE_MONOI18,GSLC_FONTREF_FNAME,FONT_FREE_MONOI18,18,Monospaced,18,ITALIC
FreeFont Monospaced,FreeMonoOblique24pt,NULL,/usr/share/fonts/truetype/freefont/FreeMonoOblique.ttf,E_FREE_MONOI24,GSLC_FONTREF_FNAME,FONT_FREE_MONOI24,24,Monospaced,24,ITALIC
FreeFont Sans,FreeSans9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSans.ttf,E_FREE_SANS9,GSLC_FONTREF_FNAME,FONT_FREE_SANS9,9,SansSerif,9,PLAIN
FreeFont Sans,FreeSans12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSans.ttf,E_FREE_SANS12,GSLC_FONTREF_FNAME,FONT_FREE_SANS12,12,SansSerif,12,PLAIN
FreeFont Sans,FreeSans18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSans.ttf,E_FREE_SANS18,GSLC_FONTREF_FNAME,FONT_FREE_SANS18,18,SansSerif,18,PLAIN
FreeFont Sans,FreeSans24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSans.ttf,E_FREE_SANS24,GSLC_FONTREF_FNAME,FONT_FREE_SANS24,24,SansSerif,24,PLAIN
FreeFont Sans,FreeSansBold9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansBold.ttf,E_FREE_SANSB9,GSLC_FONTREF_FNAME,FONT_FREE_SANSB9,9,SansSerif,9,BOLD
FreeFont Sans,FreeSansBold12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansBold.ttf,E_FREE_SANSB12,GSLC_FONTREF_FNAME,FONT_FREE_SANSB12,12,SansSerif,12,BOLD
FreeFont Sans,FreeSansBold18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansBold.ttf,E_FREE_SANSB18,GSLC_FONTREF_FNAME,FONT_FREE_SANSB18,18,SansSerif,18,BOLD
FreeFont Sans,FreeSansBold24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansBold.ttf,E_FREE_SANSB24,GSLC_FONTREF_FNAME,FONT_FREE_SANSB24,24,SansSerif,24,BOLD
FreeFont Sans,FreeSansOblique9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf,E_FREE_SANSI9,GSLC_FONTREF_FNAME,FONT_FREE_SANSI9,9,SansSerif,9,ITALIC
FreeFont Sans,FreeSansOblique12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf,E_FREE_SANSI12,GSLC_FONTREF_FNAME,FONT_FREE_SANSI12,12,SansSerif,12,ITALIC
FreeFont Sans,FreeSansOblique18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf,E_FREE_SANSI18,GSLC_FONTREF_FNAME,FONT_FREE_SANSI18,18,SansSerif,18,ITALIC
FreeFont Sans,FreeSansOblique24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSansOblique.ttf,E_FREE_SANSI24,GSLC_FONTREF_FNAME,FONT_FREE_SANSI24,24,SansSerif,24,ITALIC
FreeFont Serif,FreeSerif9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerif.ttf,E_FREE_SERIF9,GSLC_FONTREF_FNAME,FONT_FREE_SERIF9,9,Serif,9,PLAIN
FreeFont Serif,FreeSerif12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerif.ttf,E_FREE_SERIF12,GSLC_FONTREF_FNAME,FONT_FREE_SERIF12,12,Serif,12,PLAIN
FreeFont Serif,FreeSerif18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerif.ttf,E_FREE_SERIF18,GSLC_FONTREF_FNAME,FONT_FREE_SERIF18,18,Serif,18,PLAIN
FreeFont Serif,FreeSerif24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerif.ttf,E_FREE_SERIF24,GSLC_FONTREF_FNAME,FONT_FREE_SERIF24,24,Serif,24,PLAIN
FreeFont Serif,FreeSerifBold9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf,E_FREE_SERIFB9,GSLC_FONTREF_FNAME,FONT_FREE_SERIFB9,9,Serif,9,BOLD
FreeFont Serif,FreeSerifBold12pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf,E_FREE_SERIFB12,GSLC_FONTREF_FNAME,FONT_FREE_SERIFB12,12,Serif,12,BOLD
FreeFont Serif,FreeSerifBold18pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf,E_FREE_SERIFB18,GSLC_FONTREF_FNAME,FONT_FREE_SERIFB18,18,Serif,18,BOLD
FreeFont Serif,FreeSerifBold24pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifBold.ttf,E_FREE_SERIFB24,GSLC_FONTREF_FNAME,FONT_FREE_SERIFB24,24,Serif,24,BOLD
FreeFont Serif,FreeSerifItalic9pt,NULL,/usr/share/fonts/truetype/freefont/FreeSerifItalic.ttf,E_FREE_SERIFI9,GSLC_FONTREF_FNAME,FONT_FREE_SERIFI9,9,Serif,9,ITALIC
